,title,author,release year,synopsis,book length,rating,number of ratings
71,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,2012,"Dante can swim. Ari can't. Dante is articulate and self-assured. Ari has a hard time with words and suffers from self-doubt. Dante gets lost in poetry and art. Ari gets lost in thoughts of his older brother who is in prison. Dante is fair skinned. Ari's features are much darker. It seems that a boy like Dante, with his open and unique perspective on life, would be the last",359,4.34,476866
72,"Maybe Someday (Maybe, #1)",Colleen Hoover,2014,"Contains exclusive content: songs from Griffin Peterson Sydney is living in an idyllic bubble—she's a dedicated student with a steady job on the side. She lives with her best friend, has a great boyfriend, and the music coming from the balcony opposite hers is fast becoming the soundtrack to her life. But when Sydney finds out her boyfriend is cheating on her, the bubble b",385,4.16,295662
73,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,2019,"Nick and Charlie are best friends. Nick knows Charlie's gay, and Charlie is sure that Nick isn't. But love works in surprising ways, and Nick is discovering all kinds of things about his friends, his family ... and himself.",320,4.6,316062
74,"Wallbanger (Cocktail, #1)",Alice Clayton,2012,"The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin walls and the guy's athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) li",384,4.01,198768
75,Punk 57 (Kindle Edition),Penelope Douglas,2016,"""We were perfect together. Until we met."" MishaI can’t help but smile at the words in her letter. She misses me.In fifth grade, my teacher set us up with pen pals from a different school. Thinking I was a girl, with a name like Misha, the other teacher paired me up with her student, Ryen. My teacher, believing Ryen was a boy like me, agreed.It didn’t take long for us to fi",343,3.85,262165
76,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2013,"An international sensation, this hilarious, feel-good novel is narrated by an oddly charming and socially challenged genetics professor on an unusual quest: to find out if he is capable of true love.Don Tillman, professor of genetics, has never been on a second date. He is a man who can count all his friends on the fingers of one hand, whose lifelong difficulty with social",295,4.02,516559
77,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,2021,"In Act Your Age, Eve Brown the flightiest Brown sister crashes into the life of an uptight B&B owner and has him falling hard—literally.Eve Brown is a certified hot mess. No matter how hard she strives to do right, her life always goes horribly wrong—so she’s given up trying. But when her personal brand of chaos ruins an expensive wedding (someone had to liberate those poo",400,4.16,64493
78,Archer's Voice (ebook),Mia Sheridan,2014,"When Bree Prescott arrives in the sleepy, lakeside town of Pelion, Maine, she hopes against hope that this is the place where she will finally find the peace she so desperately seeks. On her first day there, her life collides with Archer Hale, an isolated man who holds a secret agony of his own. A man no one else sees.Archer's Voice is the story of a woman chained to the m",345,4.33,183482
79,The Sun Is Also a Star (Hardcover),Nicola Yoon,2016,Natasha: I’m a girl who believes in science and facts. Not fate. Not destiny. Or dreams that will never come true. I’m definitely not the kind of girl who meets a cute boy on a crowded New York City street and falls in love with him. Not when my family is twelve hours away from being deported to Jamaica. Falling in love with him won’t be my story.Daniel: I’ve always been t,384,4.01,281659
80,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,2021,"A woman struggling with burnout learns to embrace the unexpected—and the man she enlists to help her—in this new New York Times bestselling romance by Helen Hoang.When violinist Anna Sun accidentally achieves career success with a viral YouTube video, she finds herself incapacitated and burned out from her attempts to replicate that moment. And when her longtime boyfriend ",339,4.01,82190
